"filename", "language", "JavaScript", "CSS", "Markdown", "XML", "JSON", "JSON with Comments", "Properties", "comment", "blank", "total"
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\cornerDot.svg", "XML", 0, 0, 0, 18, 0, 0, 0, 0, 1, 19
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\cornerDotToTop.svg", "XML", 0, 0, 0, 18, 0, 0, 0, 0, 1, 19
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\cubes.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\cubes2.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\dartBoardMobile.svg", "XML", 0, 0, 0, 31, 0, 0, 0, 0, 1, 32
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\dartPen.svg", "XML", 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\dartbord.svg", "XML", 0, 0, 0, 31, 0, 0, 0, 0, 1, 32
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\direction.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\eghtesadNovinBank.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\fivIcon.svg", "XML", 0, 0, 0, 22, 0, 0, 0, 0, 1, 23
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\insta.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\insurance.svg", "XML", 0, 0, 0, 18, 0, 0, 0, 0, 1, 19
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\insuransConis.svg", "XML", 0, 0, 0, 291, 0, 0, 0, 0, 1, 292
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\lamp.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\leftDirection.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\lightGrayDirection.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\line.svg", "XML", 0, 0, 0, 31, 0, 0, 0, 0, 1, 32
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\linkedin.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\melliBank.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\mobileImageDesktopLanding.svg", "XML", 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\mobileImageMLanding.svg", "XML", 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\myPolice.svg", "XML", 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\myPoliceDesktopLanding.svg", "XML", 0, 0, 0, 16, 0, 0, 0, 0, 1, 17
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\myPoliceMLanding.svg", "XML", 0, 0, 0, 16, 0, 0, 0, 0, 1, 17
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\myPoliceTick.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\notice.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\openBox.svg", "XML", 0, 0, 0, 104, 0, 0, 0, 0, 1, 105
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\plusGroup.svg", "XML", 0, 0, 0, 16, 0, 0, 0, 0, 1, 17
